TDP_1,TDP_2,TD_1,TD_2,ctrl_1,ctrl_2,details,event_date,event_loc,event_name,f1_res,f2_res,fight_class,fight_result,fighter_name_1,fighter_name_2,judge_1,judge_2,judge_3,kd_1,kd_2,method,r1_TDP_1,r1_TDP_2,r1_TD_1,r1_TD_2,r1_ctrl_1,r1_ctrl_2,r1_rev_1,r1_rev_2,r1_sig_strP_1,r1_sig_strP_2,r1_sig_str_1,r1_sig_str_2,r1_sub_att_1,r1_sub_att_2,r1_tot_str_1,r1_tot_str_2,referee,rev_1,rev_2,round,sig_strP_1,sig_strP_2,sig_str_1,sig_str_2,sub_att_1,sub_att_2,time,time_format,tot_body_1,tot_body_2,tot_clinch_1,tot_clinch_2,tot_dist_1,tot_dist_2,tot_ground_1,tot_ground_2,tot_head_1,tot_head_2,tot_leg_1,tot_leg_2,tot_str_1,tot_str_2
---,---,"0,0","0,0",0:05,1:30,Judge,"August 03, 2019","Newark, New Jersey, USA",UFC Fight Night: Covington vs. Lawler,W,L,Women's Flyweight Bout,"W,Miranda Granger,""Danger"",L,Hannah Goldy,""24K""",Miranda Granger,Hannah Goldy,Jon Bilyk-27 - 30.,Dominic Carolei-27 - 30.,Munah Holland-27 - 30.,0,0,Decision - Unanimous,---,---,"0,0","0,0",0:05,1:20,0,0,43%,47%,"21,48","22,46",0,0,"37,67","25,50",Herb Dean,0,0,3,42%,33%,"61,143","55,166",0,0,5:00,3 Rnd (5-5-5),"8,12","20,34","14,26","12,21","47,117","43,145","0,0","0,0","31,91","20,102","22,40","15,30","77,162","58,170"
---,100%,"0,0","1,1",0:04,0:43,Armbar On Ground,"August 10, 2019","Montevideo, Uruguay",UFC Fight Night: Shevchenko vs. Carmouche 2,W,L,Women's Flyweight Bout,"W,Veronica Macedo,L,Polyana Viana,""Dama de Ferro""",Veronica Macedo,Polyana Viana,,,,0,0,Submission,---,100%,"0,0","1,1",0:04,0:43,1,0,100%,33%,"1,1","1,3",1,0,"1,1","1,3",Keith Peterson,1,0,1,100%,33%,"1,1","1,3",1,0,1:09,3 Rnd (5-5-5),"1,1","1,2","0,0","0,0","1,1","1,3","0,0","0,0","0,0","0,1","0,0","0,0","1,1","1,3"
100%,---,"4,4","0,0",10:49,0:05,Judge,"August 17, 2019","Anaheim, California, USA",UFC 241: Cormier vs. Miocic 2,W,L,Women's Flyweight Bout,"W,Sabina Mazo,""Colombian Queen"",L,Shana Dobson,""Danger""",Sabina Mazo,Shana Dobson,Luis Cobian-24 - 30.,Ron McCarthy-25 - 30.,Michael Bell-25 - 30.,0,0,Decision - Unanimous,100%,---,"2,2","0,0",4:24,0:02,0,0,65%,30%,"30,46","6,20",0,0,"72,102","14,31",Frank Trigg,0,0,3,63%,33%,"108,171","33,99",0,0,5:00,3 Rnd (5-5-5),"50,60","11,18","38,55","15,23","44,85","14,71","26,31","4,5","49,98","19,75","9,13","3,6","170,250","102,176"
---,0%,"0,0","0,5",1:04,0:22,Judge,"August 31, 2019","Shenzhen, Guangdong, China",UFC Fight Night: Andrade vs. Zhang,W,L,Women's Bantamweight Bout,"W,Karol Rosa,L,Lara Procopio",Karol Rosa,Lara Procopio,Garth Harriman-28 - 29.,Howard Hughes-27 - 30.,Albert Shen-29 - 28.,1,0,Decision - Split,---,0%,"0,0","0,2",0:00,0:22,0,0,44%,58%,"57,128","66,112",0,0,"60,131","69,115",Thomas Fan,0,0,3,48%,56%,"171,351","165,290",0,0,5:00,3 Rnd (5-5-5),"11,16","13,15","7,11","7,9","159,333","158,281","5,7","0,0","108,266","122,244","52,69","30,31","177,358","169,294"
25%,0%,"3,12","0,4",9:37,2:26,Judge,"September 07, 2019","Abu Dhabi, Abu Dhabi, United Arab Emirates",UFC 242: Khabib vs. Poirier,W,L,Lightweight Bout,"W,Don Madge,""Magic Man"",L,Fares Ziam,""Smile Killer""",Don Madge,Fares Ziam,Ben Cartlidge-27 - 30.,Mark Collett-27 - 30.,David Lethaby-28 - 29.,0,0,Decision - Unanimous,0%,0%,"0,5","0,3",2:23,1:28,0,0,41%,20%,"5,12","2,10",0,0,"21,29","30,41",Peter Hickmott,0,0,3,42%,32%,"21,49","10,31",0,0,5:00,3 Rnd (5-5-5),"6,7","1,2","3,8","2,4","8,27","8,25","10,14","0,2","11,36","6,26","4,6","3,3","72,111","70,96"
0%,60%,"0,1","3,5",0:48,5:42,Judge,"September 14, 2019","Vancouver, British Columbia, Canada",UFC Fight Night: Cowboy vs. Gaethje,L,W,Lightweight Bout,"L,Kyle Prepolec,W,Austin Hubbard,""Thud""",Kyle Prepolec,Austin Hubbard,Michael Bell-28 - 29.,Clayton Weich-28 - 29.,David Therien-28 - 29.,0,0,Decision - Unanimous,---,---,"0,0","0,0",0:00,0:00,0,0,40%,29%,"28,70","17,57",0,0,"28,70","17,57",Kevin Dornan,0,0,3,36%,45%,"44,122","51,112",0,0,5:00,3 Rnd (5-5-5),"9,19","14,26","2,2","0,0","42,120","41,100","0,0","10,12","23,88","20,68","12,15","17,18","46,124","136,239"
66%,---,"4,6","0,0",13:20,0:48,Judge,"September 21, 2019","Mexico City, Distrito Federal, Mexico",UFC Fight Night: Rodriguez vs. Stephens,W,L,Lightweight Bout,"W,Claudio Puelles,""El Nino"",L,Marcos Mariano,""Dhalsim""",Claudio Puelles,Marcos Mariano,Derek Cleary-25 - 30.,Brian Puccillo-25 - 30.,Bladimir Puga-25 - 30.,0,0,Decision - Unanimous,50%,---,"2,4","0,0",3:41,0:48,0,0,80%,20%,"4,5","1,5",1,0,"23,24","1,5",Fernando Salas Navarro,0,0,3,64%,22%,"22,34","2,9",2,0,5:00,3 Rnd (5-5-5),"1,2","2,3","0,0","0,0","1,5","2,8","21,29","0,1","21,32","0,6","0,0","0,0","101,116","5,12"
57%,---,"4,7","0,0",6:31,0:40,Rear Naked Choke,"September 28, 2019","Copenhagen, Denmark",UFC Fight Night: Hermansson vs. Cannonier,W,L,Bantamweight Bout,"W,Jack Shore,""Tank"",L,Nohelin Hernandez,""Suave""",Jack Shore,Nohelin Hernandez,,,,0,0,Submission,33%,---,"1,3","0,0",2:23,0:00,0,0,46%,25%,"21,45","2,8",0,0,"32,64","3,9",Mikkel Birch Olsen,0,1,3,50%,16%,"46,92","6,36",1,0,2:51,3 Rnd (5-5-5),"2,2","0,0","3,4","2,4","26,58","4,32","17,30","0,0","33,76","5,34","11,14","1,2","81,139","9,39"
0%,18%,"0,1","2,11",0:39,6:59,Arm Triangle From Side Control,"October 05, 2019","Melbourne, Victoria, Australia",UFC 243: Whittaker vs. Adesanya,NC,NC,Bantamweight Bout,"NC,Khalid Taha,""The Warrior"",NC,Bruno Silva,""Bulldog""",Khalid Taha,Bruno Silva,,,,1,0,Submission,0%,0%,"0,1","0,4",0:00,1:13,0,0,27%,40%,"12,43","9,22",0,0,"24,55","26,39",Greg Kleynjans,0,0,3,43%,40%,"38,88","20,50",1,0,3:00,3 Rnd (5-5-5),"4,11","8,11","6,7","1,1","19,62","10,31","13,19","9,18","29,69","9,33","5,8","3,6","74,127","51,88"
50%,100%,"1,2","1,1",1:52,0:21,Judge,"October 12, 2019","Tampa, Florida, USA",UFC Fight Night: Joanna vs. Waterson,W,L,Women's Flyweight Bout,"W,JJ Aldrich,L,Lauren Mueller,""Princess Tiger""",JJ Aldrich,Lauren Mueller,Tony Weeks-27 - 30.,Chris Lee-28 - 29.,Michelle Olney-28 - 29.,0,0,Decision - Unanimous,100%,100%,"1,1","1,1",1:30,0:12,0,0,44%,36%,"11,25","9,25",0,0,"13,27","11,27",Kevin MacDonald,0,0,3,46%,36%,"74,160","54,147",0,0,5:00,3 Rnd (5-5-5),"10,11","10,20","4,9","2,2","70,151","52,145","0,0","0,0","59,142","34,117","5,7","10,10","78,164","60,153"
