,name,t_wins,t_losses,t_nc,t_draws,total,rounds,kd,kd_round,win_p,sig_strikes,sig_strikes_att,rounds_per_fight,time_min,time_per_fight,sig_str_per_min,ground_control
0,Aalon Cruz,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,12.0,1.0,1.4166666666666667,1.4166666666666667,1.4117647058823528,0.08333333333333333
1,Aaron Phillips,0.0,3.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,62.0,109.0,2.6666666666666665,37.483333333333334,12.494444444444445,1.6540684748777235,1.2166666666666666
2,Aaron Riley,3.0,6.0,0.0,0.0,9.0,20.0,0.0,0.0,0.3333333333333333,314.0,904.0,2.2222222222222223,95.36666666666667,10.596296296296297,3.2925550506815795,18.616666666666667
3,Aaron Rosa,1.0,2.0,0.0,0.0,3.0,7.0,0.0,0.0,0.3333333333333333,132.0,290.0,2.3333333333333335,28.566666666666666,9.522222222222222,4.620770128354726,1.0
4,Aaron Simpson,7.0,4.0,0.0,0.0,11.0,28.0,6.0,0.21428571428571427,0.6363636363636364,454.0,860.0,2.5454545454545454,126.71666666666667,11.51969696969697,3.582796264632382,53.46666666666667
5,Abdul Razak Alhassan,4.0,2.0,0.0,0.0,6.0,10.0,6.0,0.6,0.6666666666666666,177.0,369.0,1.6666666666666667,39.733333333333334,6.622222222222223,4.454697986577181,4.0
6,Abel Trujillo,6.0,4.0,0.0,0.0,11.0,24.0,3.0,0.125,0.5454545454545454,273.0,662.0,2.1818181818181817,103.18333333333334,9.38030303030303,2.6457761266354383,18.9
7,Abubakar Nurmagomedov,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,9.0,1.0,2.8333333333333335,2.8333333333333335,1.4117647058823528,1.8333333333333333
8,Adam Milstead,1.0,2.0,0.0,0.0,4.0,8.0,0.0,0.0,0.25,127.0,271.0,2.0,32.983333333333334,8.245833333333334,3.8504295098534613,0.3333333333333333
9,Adam Wieczorek,2.0,1.0,0.0,0.0,3.0,8.0,0.0,0.0,0.6666666666666666,62.0,160.0,2.6666666666666665,36.983333333333334,12.327777777777778,1.6764308246958088,4.433333333333334
10,Adam Yandiev,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,12.0,2.0,5.7,5.7,0.17543859649122806,0.0
11,Adriano Martins,4.0,3.0,0.0,0.0,7.0,14.0,2.0,0.14285714285714285,0.5714285714285714,103.0,234.0,2.0,57.41666666666667,8.202380952380953,1.7939042089985484,6.25
12,Aiemann Zahabi,1.0,2.0,0.0,0.0,3.0,9.0,1.0,0.1111111111111111,0.3333333333333333,118.0,299.0,3.0,41.96666666666667,13.988888888888889,2.811755361397935,2.5
13,Aisling Daly,2.0,1.0,0.0,0.0,3.0,7.0,0.0,0.0,0.6666666666666666,102.0,196.0,2.3333333333333335,34.88333333333333,11.627777777777778,2.9240324892498806,21.1
14,Akbarh Arreola,1.0,3.0,0.0,0.0,4.0,9.0,2.0,0.2222222222222222,0.25,97.0,214.0,2.25,41.86666666666667,10.466666666666667,2.31687898089172,2.9
15,Akihiro Gono,1.0,2.0,0.0,0.0,3.0,8.0,1.0,0.125,0.3333333333333333,90.0,171.0,2.6666666666666665,38.31666666666666,12.77222222222222,2.3488473249238804,5.716666666666667
16,Akira Corassani,3.0,3.0,0.0,0.0,6.0,11.0,0.0,0.0,0.5,139.0,307.0,1.8333333333333333,42.733333333333334,7.122222222222223,3.252730109204368,4.933333333333334
17,Al Iaquinta,9.0,5.0,0.0,0.0,14.0,41.0,7.0,0.17073170731707318,0.6428571428571429,764.0,1879.0,2.9285714285714284,188.01666666666668,13.429761904761905,4.0634695505717575,11.450000000000001
18,Alan Belcher,9.0,6.0,0.0,0.0,15.0,31.0,3.0,0.0967741935483871,0.6,372.0,889.0,2.066666666666667,137.63333333333333,9.175555555555555,2.702833615887624,26.28333333333333
19,Alan Jouban,7.0,5.0,0.0,0.0,12.0,24.0,9.0,0.375,0.5833333333333334,495.0,987.0,2.0,102.0,8.5,4.852941176470588,7.833333333333334
20,Alan Omer,0.0,2.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,93.0,167.0,3.0,26.683333333333334,13.341666666666667,3.485321673953779,6.466666666666667
21,Alan Patrick,5.0,3.0,0.0,0.0,8.0,21.0,1.0,0.047619047619047616,0.625,177.0,434.0,2.625,99.1,12.3875,1.786074672048436,41.849999999999994
22,Albert Cheng,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,12.0,1.0,5.0,5.0,1.0,0.1
23,Albert Morales,1.0,4.0,0.0,1.0,6.0,16.0,0.0,0.0,0.16666666666666666,278.0,805.0,2.6666666666666665,74.16666666666666,12.361111111111109,3.7483146067415736,12.200000000000001
24,Albert Tumenov,5.0,3.0,0.0,0.0,8.0,17.0,5.0,0.29411764705882354,0.625,279.0,664.0,2.125,74.16666666666667,9.270833333333334,3.7617977528089885,2.733333333333333
25,Alberto Mina,3.0,1.0,0.0,0.0,4.0,9.0,3.0,0.3333333333333333,0.75,131.0,336.0,2.25,40.56666666666666,10.141666666666666,3.2292522596548894,4.233333333333333
26,Alberto Uda,0.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,19.0,36.0,1.5,10.6,5.3,1.7924528301886793,4.916666666666666
